"";"ID";"spec";"col";"tank";"tp";"treat";"conc";"necro_occured";"treatment";"necro_per"
"320";"Pve_F_13";"Pve";"F";"13";3;"1";1;"yes";"B";7,1120499031162
"321";"Pve_F_14";"Pve";"F";"14";0;"10";10;"no";"C";0
"322";"Pve_F_14";"Pve";"F";"14";1;"10";10;"yes";"C";37,863284599662
"323";"Pve_F_14";"Pve";"F";"14";2;"10";10;"yes";"C";35,5941479453971
"324";"Pve_F_14";"Pve";"F";"14";3;"10";10;"yes";"C";33,3137556540874
"325";"Pve_F_15";"Pve";"F";"15";0;"100";100;"no";"D";0
"326";"Pve_F_15";"Pve";"F";"15";1;"100";100;"yes";"D";22,5653817629039
"327";"Pve_F_15";"Pve";"F";"15";2;"100";100;"no";"D";0
"328";"Pve_F_15";"Pve";"F";"15";3;"100";100;"yes";"D";42,0322238175889
"329";"Pve_F_2";"Pve";"F";"2";0;"0.1";0,1;"no";"A";0
"330";"Pve_F_2";"Pve";"F";"2";1;"0.1";0,1;"no";"A";0
"331";"Pve_F_2";"Pve";"F";"2";2;"0.1";0,1;"yes";"A";4,91357704827134
"332";"Pve_F_2";"Pve";"F";"2";3;"0.1";0,1;"yes";"A";12,2482805059296
"333";"Pve_F_3";"Pve";"F";"3";0;"1";1;"no";"B";0
"334";"Pve_F_3";"Pve";"F";"3";1;"1";1;"yes";"B";7,28776886375049
"335";"Pve_F_3";"Pve";"F";"3";2;"1";1;"yes";"B";8,02292873051859
"336";"Pve_F_3";"Pve";"F";"3";3;"1";1;"yes";"B";5,34573659573334
"337";"Pve_F_4";"Pve";"F";"4";0;"10";10;"no";"C";0
"338";"Pve_F_4";"Pve";"F";"4";1;"10";10;"no";"C";0
"339";"Pve_F_4";"Pve";"F";"4";2;"10";10;"yes";"C";1,16401088678986
"340";"Pve_F_4";"Pve";"F";"4";3;"10";10;"no";"C";0
"341";"Pve_F_5";"Pve";"F";"5";0;"100";100;"no";"D";0
"342";"Pve_F_5";"Pve";"F";"5";1;"100";100;"no";"D";0
"343";"Pve_F_5";"Pve";"F";"5";2;"100";100;"no";"D";0
"344";"Pve_F_5";"Pve";"F";"5";3;"100";100;"no";"D";0
"345";"Pve_F_6";"Pve";"F";"6";0;"control";0;"no";"control";0
"346";"Pve_F_6";"Pve";"F";"6";1;"control";0;"no";"control";0
"347";"Pve_F_6";"Pve";"F";"6";2;"control";0;"no";"control";0
"348";"Pve_F_6";"Pve";"F";"6";3;"control";0;"no";"control";0
"349";"Pve_F_7";"Pve";"F";"7";0;"0.1";0,1;"no";"A";0
"350";"Pve_F_7";"Pve";"F";"7";1;"0.1";0,1;"no";"A";0
