conc;tank;volume;measurement;date;days;polymer;count
0;1;50;1;07.05.2021;8;PE;0
0;1;50;2;07.05.2021;8;PE;0
0;1;50;3;07.05.2021;8;PE;0
0;1;50;1;07.05.2021;8;PVC;0
0;1;50;2;07.05.2021;8;PVC;0
0;1;50;3;07.05.2021;8;PVC;0
0;1;50;1;07.05.2021;8;PS;0
0;1;50;2;07.05.2021;8;PS;0
0;1;50;3;07.05.2021;8;PS;0
0;6;50;1;07.05.2021;8;PA;0
0;6;50;2;07.05.2021;8;PA;0
0;6;50;3;07.05.2021;8;PA;0
0;6;50;1;07.05.2021;8;PP;0
0;6;50;2;07.05.2021;8;PP;0
0;6;50;3;07.05.2021;8;PP;0
0;6;50;1;07.05.2021;8;PET;0
0;6;50;2;07.05.2021;8;PET;0
0;6;50;3;07.05.2021;8;PET;0
0;6;50;1;07.05.2021;8;PE;0
0;6;50;2;07.05.2021;8;PE;0
0;6;50;3;07.05.2021;8;PE;0
0;6;50;1;07.05.2021;8;PVC;0
0;6;50;2;07.05.2021;8;PVC;0
0;6;50;3;07.05.2021;8;PVC;0
0;6;50;1;07.05.2021;8;PS;0
0;6;50;2;07.05.2021;8;PS;0
0;6;50;3;07.05.2021;8;PS;0
0;11;50;1;07.05.2021;8;PA;0
0;11;50;2;07.05.2021;8;PA;0
0;11;50;3;07.05.2021;8;PA;0
0;11;50;1;07.05.2021;8;PP;0
0;11;50;2;07.05.2021;8;PP;0
0;11;50;3;07.05.2021;8;PP;0
0;11;50;1;07.05.2021;8;PET;0
0;11;50;2;07.05.2021;8;PET;0
0;11;50;3;07.05.2021;8;PET;0
0;11;50;1;07.05.2021;8;PE;0
0;11;50;2;07.05.2021;8;PE;0
0;11;50;3;07.05.2021;8;PE;0
0;11;50;1;07.05.2021;8;PVC;0
0;11;50;2;07.05.2021;8;PVC;0
0;11;50;3;07.05.2021;8;PVC;0
0;11;50;1;07.05.2021;8;PS;0
0;11;50;2;07.05.2021;8;PS;0
0;11;50;3;07.05.2021;8;PS;0
0.1;2;100;1;07.05.2021;8;PA;0
0.1;2;100;2;07.05.2021;8;PA;0
0.1;2;100;3;07.05.2021;8;PA;0
0.1;2;100;1;07.05.2021;8;PP;0
0.1;2;100;2;07.05.2021;8;PP;0
0.1;2;100;3;07.05.2021;8;PP;0
0.1;2;100;1;07.05.2021;8;PET;0
0.1;2;100;2;07.05.2021;8;PET;0
0.1;2;100;3;07.05.2021;8;PET;0
0.1;2;100;1;07.05.2021;8;PE;0
0.1;2;100;2;07.05.2021;8;PE;0
0.1;2;100;3;07.05.2021;8;PE;0
0.1;2;100;1;07.05.2021;8;PVC;0
0.1;2;100;2;07.05.2021;8;PVC;0
0.1;2;100;3;07.05.2021;8;PVC;0
0.1;2;100;1;07.05.2021;8;PS;0
0.1;2;100;2;07.05.2021;8;PS;0
0.1;2;100;3;07.05.2021;8;PS;0
