Polymer;Form;Count;Length;Width
PS;Fragments;67;339,83;194,51
PS;Fragments;68;506,02;181,16
PS;Fragments;69;336,05;146,37
PS;Fragments;70;282,3;296,47
PS;Fragments;71;263,14;117,68
PS;Fragments;72;358,91;80,82
PS;Fragments;73;333,24;174,69
PS;Fragments;74;262,66;120,15
PS;Fragments;75;298,62;143,49
PS;Fragments;76;330,32;149,03
PS;Fragments;77;192,11;86,22
PS;Fragments;78;263,14;56,11
PS;Fragments;79;187,43;97,12
PS;Fragments;80;558,31;209,64
PS;Fragments;81;491,62;263,14
PS;Fragments;82;568,1;116,56
PS;Fragments;83;578,72;238,44
PS;Fragments;84;555,54;260,64
PS;Fragments;85;415,58;149,03
PS;Fragments;86;322,07;189,2
PS;Fragments;87;329,69;153,18
PS;Fragments;88;267,47;136,39
PS;Fragments;89;472,1;364,9
PS;Fragments;90;279,32;72,29
PS;Fragments;91;377,01;153,35
PS;Fragments;92;452,6;207,13
PS;Fragments;93;307,38;328,82
PS;Fragments;94;652,41;249,27
PS;Fragments;95;817,38;160,51
PS;Fragments;96;214,93;116,56
PS;Fragments;97;334,18;161,2
PS;Fragments;98;455,16;296,38
PS;Fragments;99;358,41;336,53
PS;Fragments;100;589,79;308,82
PVC;Fragments;1;411,87;66,65
PVC;Fragments;2;212,15;89,27
PVC;Fragments;3;208,51;122,94
PVC;Fragments;4;427,25;159,69
PVC;Fragments;5;378;112,11
PVC;Fragments;6;294,35;150,34
PVC;Fragments;7;171,41;77,86
PVC;Fragments;8;293,55;108,43
PVC;Fragments;9;195,48;108,43
PVC;Fragments;10;294,97;105,81
PVC;Fragments;11;320,4;101,78
PVC;Fragments;12;308,78;145,88
PVC;Fragments;13;280;183,24
PVC;Fragments;14;225,52;115,49
PVC;Fragments;15;155,42;123,37
PVC;Fragments;16;243,49;90,65
PVC;Fragments;17;258,45;82,42
PVC;Fragments;18;363,03;135,34
PVC;Fragments;19;255,58;92,93
PVC;Fragments;20;286,98;107,47
PVC;Fragments;21;418,11;84,3
PVC;Fragments;22;256,01;112,92
PVC;Fragments;23;368,07;104,32
PVC;Fragments;24;267,49;130,17
PVC;Fragments;25;328,91;143,94
PVC;Fragments;26;459,55;195,31
PVC;Fragments;27;330,52;159,4
PVC;Fragments;28;324,74;153,9
PVC;Fragments;29;453,77;145,48
PVC;Fragments;30;315,78;178,83
PVC;Fragments;31;162,65;105,07
PVC;Fragments;32;366,92;122,94
PVC;Fragments;33;303,89;84,69
PVC;Fragments;34;292,61;202,22
PVC;Fragments;35;321,77;120,8
PVC;Fragments;36;335,83;123,37
PVC;Fragments;37;357,98;120,15
PVC;Fragments;38;253,04;142,49
PVC;Fragments;39;172,77;61,72
PVC;Fragments;40;172,45;109,1
PVC;Fragments;41;255,3;119,93
PVC;Fragments;42;375,76;92,26
PVC;Fragments;43;227,94;96,2
PVC;Fragments;44;455,88;223,89
PVC;Fragments;45;243,56;72,45
PVC;Fragments;46;98,79;93,01
PVC;Fragments;47;247,91;136,86
PVC;Fragments;48;123,15;79,77
PVC;Fragments;49;146,37;75,66
PVC;Fragments;50;218,85;52,63
PVC;Fragments;51;307,95;179,35
PVC;Fragments;52;240,78;90,55
PVC;Fragments;53;263,65;81,54
PVC;Fragments;54;352,9;124,49
PVC;Fragments;55;194,03;111,08
PVC;Fragments;56;636,08;150,1
PVC;Fragments;57;216,41;138
PVC;Fragments;58;349,6;131,47
PVC;Fragments;59;281,5;252,55
PVC;Fragments;60;198,47;146,59
PVC;Fragments;61;252,64;106,13
PVC;Fragments;62;211,57;117,36
PVC;Fragments;63;310,88;253,3
PVC;Fragments;64;390,43;101,46
PVC;Fragments;65;299,89;80,82
PVC;Fragments;66;263,83;164,84
PVC;Fragments;67;596,11;142,03
PVC;Fragments;68;362,6;150,94
PVC;Fragments;69;242,46;126,45
PVC;Fragments;70;332,84;130,92
PVC;Fragments;71;387,94;166,42
PVC;Fragments;72;555,12;160,51
PVC;Fragments;73;400,21;96,99
PVC;Fragments;74;365,54;135,82
PVC;Fragments;75;541,93;305,07
PVC;Fragments;76;226,99;110,11
PVC;Fragments;77;321,02;133,29
PVC;Fragments;78;273,29;156,38
PVC;Fragments;79;144,58;115,32
PVC;Fragments;80;175,33;83,45
PVC;Fragments;81;336,98;103,38
PVC;Fragments;82;248,56;122,78
PVC;Fragments;83;144,76;63,36
PVC;Fragments;84;169,63;71,97
PVC;Fragments;85;452,89;214,99
PVC;Fragments;86;389,29;108,43
PVC;Fragments;87;228,74;130,32
PVC;Fragments;88;365,49;152,49
PVC;Fragments;89;480,4;245,7
PVC;Fragments;90;233,71;89,49
PVC;Fragments;91;398,18;108,67
PVC;Fragments;92;262,17;90,58
PVC;Fragments;93;382,26;148,9
PVC;Fragments;94;300,78;140,36
PVC;Fragments;95;312,94;265,11
PVC;Fragments;96;344,34;155,21
PVC;Fragments;97;278,95;185,15
PVC;Fragments;98;363,82;193,97
PVC;Fragments;99;280,72;166,89
PVC;Fragments;100;320,2;194,51
